Gen	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	t_n16	t_n17	mu	sigma2	lnL
50315000	166.1802465	97.7546288	86.1737100	83.4731075	63.9946558	23.2366054	10.3498435	6.0266617	0.0050043	0.0076307	-7.299
50320000	165.3953504	92.6469206	81.3828411	78.3523089	61.1342217	25.8835952	10.0496824	5.3951302	0.0051096	0.0043939	-10.977
50325000	159.4511647	93.3794881	81.5678028	78.7993665	59.3948093	23.2415253	10.4746108	5.6803563	0.0061554	0.0043700	-11.274
50330000	164.6235773	100.6682342	88.4501982	86.2555409	65.4558741	21.9361422	9.7052262	5.1285570	0.0029222	0.0027997	-8.398
50335000	156.1612888	97.1151492	84.1647896	81.9519649	63.3957827	21.9066087	9.7479242	5.5824402	0.0038525	0.0073735	-8.549
50340000	162.2519706	91.8533861	81.4483788	78.9662575	62.5845092	23.4181002	9.2107569	4.6268677	0.0069048	0.0036291	-8.459
50345000	164.0150342	91.0466228	81.3036879	78.8348693	58.7988437	21.9462786	9.2932464	4.9217255	0.0148261	0.0084440	-9.933
50350000	160.0884030	99.3798908	88.2070094	85.0419159	63.9607752	24.9261222	12.1999634	6.8538566	0.0027682	0.0023301	-7.139
50355000	156.1623032	96.0035062	86.6455900	83.1230123	61.5782386	23.3810160	9.3324749	5.3732002	0.0049809	0.0066231	-5.378
50360000	150.0185511	97.5742274	86.7341508	84.1238584	64.7208883	22.4281464	9.9703974	5.0975426	0.0046004	0.0064617	-6.527
50365000	164.1025332	101.2287491	88.3400384	85.4832323	63.9756161	21.6056216	9.2784816	5.3704101	0.0085509	0.0073542	-10.848
50370000	150.0953676	96.7554962	88.6080776	85.3347668	65.8854460	22.0810947	12.2093815	6.4965348	0.0052726	0.0100324	-9.414
50375000	166.6031359	92.1606349	81.8685503	79.3462646	60.5438237	22.4860246	9.0894778	4.4310647	0.0036990	0.0134719	-3.728
50380000	163.3845049	94.2774772	78.5034491	77.3016610	64.5420122	24.5170725	8.8640265	5.3555066	0.0083100	0.0175467	-5.756
50385000	154.1367260	96.5379823	87.2760818	85.1457670	62.4281758	21.9986773	8.5316684	4.5424521	0.0044388	0.0029657	-7.040
50390000	166.6813900	101.5301380	86.5774379	83.3718033	62.9440177	21.9705877	10.1603374	5.1346653	0.0038940	0.0031989	-6.497
50395000	150.9178654	97.3565276	83.7041564	81.9098440	64.7221031	28.7170566	12.2932080	6.7210677	0.0049855	0.0073702	-5.299
50400000	150.2810308	99.3424013	79.6434313	77.3074110	60.7649292	25.2348235	10.2179904	5.3154672	0.0017854	0.0047479	-9.666
50405000	167.0960047	92.1390162	81.9936534	79.3927328	63.4344653	24.2491459	11.7933881	6.4496653	0.0012406	0.0091315	-8.977
50410000	158.8128625	97.0483452	87.9061732	85.9847069	65.7934107	28.8049145	11.9075483	6.9970407	0.0118432	0.0083438	-10.278
50415000	164.9297151	93.5685030	85.2592122	83.2465272	62.0249415	24.4420906	11.3495293	6.2125667	0.0045190	0.0066511	-5.263
50420000	160.4446692	91.4376934	80.4632932	78.3672122	63.1663189	27.6694329	10.6913793	5.6844362	0.0063556	0.0067722	-6.939
50425000	166.3408335	93.0228220	76.7789410	74.0549657	58.5025672	25.6602482	11.7832694	5.7008098	0.0020621	0.0055954	-8.010
50430000	156.6475704	92.7852171	77.4055628	74.7058466	58.0926282	23.9167777	15.0441326	9.2182767	0.0039778	0.0142149	-10.656
50435000	157.5649807	101.4682082	72.0476263	69.7970738	58.8511243	23.3187505	10.0801165	5.1250976	0.0203412	0.0138778	-7.485
50440000	161.7510321	92.7499627	81.0987035	79.4421224	64.9107230	25.4727435	12.8916774	6.3108365	0.0092560	0.0208048	-8.704
50445000	167.1739012	96.8278518	86.5393710	84.1166092	63.1957235	24.7226530	12.4563693	7.5101713	0.0039776	0.0063969	-7.923
